participant_id	ses_7_anat	ses_7_func_run_01	ses_7_func_run_02	ses_9_anat	ses_9_func_run_01	ses_9_func_run_02	selection_note
sub-5007	sub-5007_ses-7_acq-D1S2_T1w.nii.gz	sub-5007_ses-7_task-Sem_acq-D2S2_run-01_bold.nii.gz	sub-5007_ses-7_task-Sem_acq-D2S4_run-02_bold.nii.gz	sub-5007_ses-9_acq-D1S2_T1w.nii.gz	sub-5007_ses-9_task-Sem_acq-D2S8_run-01_bold.nii.gz	sub-5007_ses-9_task-Sem_acq-D2S6_run-02_bold.nii.gz	
sub-5008	sub-5008_ses-7_acq-D1S2_T1w.nii.gz	sub-5008_ses-7_task-Sem_acq-D2S6_run-01_bold.nii.gz	sub-5008_ses-7_task-Sem_acq-D2S8_run-02_bold.nii.gz	sub-5008_ses-9_acq-D1S2_T1w.nii.gz	sub-5008_ses-9_task-Sem_acq-D2S8_run-01_bold.nii.gz	sub-5008_ses-9_task-Sem_acq-D2S6_run-02_bold.nii.gz	
sub-5009	sub-5009_ses-7_acq-D1S2_T1w.nii.gz	sub-5009_ses-7_task-Sem_acq-D2S6_run-01_bold.nii.gz	sub-5009_ses-7_task-Sem_acq-D2S8_run-02_bold.nii.gz	sub-5009_ses-9_acq-D1S2_T1w.nii.gz	sub-5009_ses-9_task-Sem_acq-D2S6_run-01_bold.nii.gz	sub-5009_ses-9_task-Sem_acq-D2S8_run-02_bold.nii.gz	
sub-5010	sub-5010_ses-7_acq-D2S13_T1w.nii.gz	sub-5010_ses-7_task-Sem_acq-D2S9_run-01_bold.nii.gz	sub-5010_ses-7_task-Sem_acq-D2S11_run-02_bold.nii.gz	sub-5010_ses-9_acq-D1S2_T1w.nii.gz	sub-5010_ses-9_task-Sem_acq-D2S8_run-01_bold.nii.gz	sub-5010_ses-9_task-Sem_acq-D2S6_run-02_bold.nii.gz	
sub-5011	sub-5011_ses-7_acq-D1S2_T1w.nii.gz	sub-5011_ses-7_task-Sem_acq-D2S11_run-01_bold.nii.gz	sub-5011_ses-7_task-Sem_acq-D2S9_run-02_bold.nii.gz	sub-5011_ses-9_acq-D1S2_T1w.nii.gz	sub-5011_ses-9_task-Sem_acq-D2S2_run-01_bold.nii.gz	sub-5011_ses-9_task-Sem_acq-D2S4_run-02_bold.nii.gz	
sub-5015	sub-5015_ses-7_acq-D1S2_T1w.nii.gz	sub-5015_ses-7_task-Sem_acq-D2S2_run-01_bold.nii.gz	sub-5015_ses-7_task-Sem_acq-D2S4_run-02_bold.nii.gz	sub-5015_ses-9_acq-D1S5_T1w.nii.gz	sub-5015_ses-9_task-Sem_acq-D2S4_run-01_bold.nii.gz	sub-5015_ses-9_task-Sem_acq-D2S2_run-02_bold.nii.gz	
sub-5018	sub-5018_ses-7_acq-D1S17_T1w.nii.gz	sub-5018_ses-7_task-Sem_acq-D2S4_run-01_bold.nii.gz	sub-5018_ses-7_task-Sem_acq-D2S2_run-02_bold.nii.gz	sub-5018_ses-9_acq-D1S9_T1w.nii.gz	sub-5018_ses-9_task-Sem_acq-D2S10_run-01_bold.nii.gz	sub-5018_ses-9_task-Sem_acq-D2S8_run-02_bold.nii.gz	
sub-5022	sub-5022_ses-7_acq-D1S2_T1w.nii.gz	sub-5022_ses-7_task-Sem_acq-D2S2_run-01_bold.nii.gz	sub-5022_ses-7_task-Sem_acq-D2S4_run-02_bold.nii.gz	sub-5022_ses-9_acq-D1S2_T1w.nii.gz	sub-5022_ses-9_task-Sem_acq-D3S4_run-01_bold.nii.gz	sub-5022_ses-9_task-Sem_acq-D2S8_run-02_bold.nii.gz	
sub-5024	sub-5024_ses-7_acq-D1S11_T1w.nii.gz	sub-5024_ses-7_task-Sem_acq-D2S2_run-01_bold.nii.gz	sub-5024_ses-7_task-Sem_acq-D2S4_run-02_bold.nii.gz	sub-5024_ses-9_acq-D1S2_T1w.nii.gz	sub-5024_ses-9_task-Sem_acq-D2S8_run-01_bold.nii.gz	sub-5024_ses-9_task-Sem_acq-D2S6_run-02_bold.nii.gz	
sub-5025	sub-5025_ses-7_acq-D1S11_T1w.nii.gz	sub-5025_ses-7_task-Sem_acq-D2S2_run-01_bold.nii.gz	sub-5025_ses-7_task-Sem_acq-D2S4_run-02_bold.nii.gz	sub-5025_ses-9_acq-D1S11_T1w.nii.gz	sub-5025_ses-9_task-Sem_acq-D2S8_run-01_bold.nii.gz	sub-5025_ses-9_task-Sem_acq-D2S6_run-02_bold.nii.gz	
